,filepath,tower
9170,corrected/19/negative/276049_180873_19_0.jpg,0
526,corrected/19/negative/276377_172681_19_5.jpg,0
13907,corrected/19/negative/280743_175912_19_6.jpg,0
7317,corrected/19/negative/273873_169986_19_2.jpg,0
14659,corrected/19/positive/274236_176087_19_0.jpg,1
3411,corrected/19/negative/278200_178502_19_6.jpg,0
3010,corrected/19/negative/278550_173092_19_5.jpg,0
12019,corrected/19/positive/275161_177733_19_0.jpg,1
10804,corrected/19/negative/278296_173542_19_4.jpg,0
4923,corrected/19/negative/272261_175419_19_6.jpg,0
4317,corrected/19/negative/273622_176992_19_7.jpg,0
1431,corrected/19/positive/275012_179361_19_0.jpg,1
6380,corrected/19/negative/276200_175655_19_6.jpg,0
1132,corrected/19/negative/274668_179140_19_6.jpg,0
7188,corrected/19/positive/280933_173894_19_0.jpg,1
11744,corrected/19/negative/275914_172766_19_2.jpg,0
12084,corrected/19/negative/272344_174876_19_6.jpg,0
14743,corrected/19/negative/272024_174779_19_6.jpg,0
5124,corrected/19/negative/280908_180628_19_0.jpg,0
11123,corrected/19/negative/281269_168591_19_5.jpg,0
7949,corrected/19/positive/274272_179173_19_0.jpg,1
9578,corrected/19/positive/271773_176738_19_0.jpg,1
7220,corrected/19/positive/276655_168987_19_0.jpg,1
14829,corrected/19/positive/282766_174586_19_0.jpg,1
11443,corrected/19/negative/278184_175887_19_3.jpg,0
14690,corrected/19/negative/272027_178203_19_2.jpg,0
1698,corrected/19/positive/272294_173302_19_0.jpg,1
12349,corrected/19/positive/273067_172057_19_0.jpg,1
1783,corrected/19/negative/273946_180659_19_6.jpg,0
2708,corrected/19/positive/274696_173360_19_0.jpg,1
3944,corrected/19/negative/272506_174151_19_6.jpg,0
5899,corrected/19/negative/272815_175201_19_1.jpg,0
11873,corrected/19/negative/272431_174334_19_5.jpg,0
14645,corrected/19/positive/280930_175233_19_0.jpg,1
4596,corrected/19/positive/280475_174244_19_0.jpg,1
13808,corrected/19/negative/274775_179403_19_4.jpg,0
4147,corrected/19/positive/278171_181583_19_0.jpg,1
14460,corrected/19/positive/279690_176023_19_1.jpg,1
11352,corrected/19/positive/278657_173781_19_0.jpg,1
7905,corrected/19/positive/274791_172632_19_0.jpg,1
6721,corrected/19/negative/276345_179427_19_0.jpg,0
10213,corrected/19/negative/276915_169137_19_3.jpg,0
11794,corrected/19/negative/272382_175041_19_6.jpg,0
10332,corrected/19/positive/276970_169169_19_0.jpg,1
9385,corrected/19/negative/273755_174343_19_7.jpg,0
9241,corrected/19/negative/277215_177863_19_4.jpg,0
14960,corrected/19/positive/272354_174061_19_1.jpg,1
6571,corrected/19/negative/282474_175453_19_7.jpg,0
2782,corrected/19/positive/278344_178443_19_0.jpg,1
5028,corrected/19/positive/274774_179285_19_0.jpg,1
11752,corrected/19/negative/271836_174341_19_1.jpg,0
5146,corrected/19/negative/281160_171714_19_0.jpg,0
5622,corrected/19/negative/274345_179874_19_0.jpg,0
4640,corrected/19/positive/282804_173858_19_1.jpg,1
6549,corrected/19/negative/275786_168654_19_7.jpg,0
7325,corrected/19/negative/279925_178145_19_4.jpg,0
5208,corrected/19/negative/274990_177398_19_4.jpg,0
464,corrected/19/positive/280209_169581_19_0.jpg,1
10989,corrected/19/negative/273803_174494_19_2.jpg,0
6972,corrected/19/negative/275457_179712_19_6.jpg,0
8478,corrected/19/negative/274637_179419_19_7.jpg,0
1481,corrected/19/negative/271721_175814_19_3.jpg,0
10254,corrected/19/negative/275539_182373_19_7.jpg,0
3025,corrected/19/positive/277376_181176_19_0.jpg,1
14836,corrected/19/negative/274693_179242_19_0.jpg,0
2609,corrected/19/positive/277245_172500_19_0.jpg,1
6746,corrected/19/negative/274405_170160_19_4.jpg,0
1408,corrected/19/negative/274230_182921_19_0.jpg,0
3193,corrected/19/positive/277385_177831_19_0.jpg,1
14029,corrected/19/negative/275954_168343_19_2.jpg,0
6254,corrected/19/positive/272588_179199_19_0.jpg,1
5849,corrected/19/positive/283045_173474_19_0.jpg,1
10188,corrected/19/positive/274076_175081_19_0.jpg,1
8006,corrected/19/positive/272125_175463_19_0.jpg,1
14035,corrected/19/negative/279883_168558_19_6.jpg,0
143,corrected/19/negative/274227_179741_19_7.jpg,0
14427,corrected/19/negative/280193_169616_19_0.jpg,0
11033,corrected/19/negative/273938_176941_19_5.jpg,0
8694,corrected/19/negative/276541_169590_19_6.jpg,0
5336,corrected/19/negative/278003_177956_19_4.jpg,0
7212,corrected/19/negative/272881_174046_19_4.jpg,0
12844,corrected/19/negative/276564_181605_19_5.jpg,0
10611,corrected/19/positive/278162_176647_19_1.jpg,1
14999,corrected/19/negative/279196_174575_19_7.jpg,0
1411,corrected/19/negative/272377_175300_19_0.jpg,0
8910,corrected/19/positive/283174_174329_19_0.jpg,1
1616,corrected/19/negative/276363_179668_19_0.jpg,0
2530,corrected/19/negative/278054_172564_19_6.jpg,0
10058,corrected/19/negative/282159_175661_19_2.jpg,0
12687,corrected/19/negative/275381_180146_19_6.jpg,0
8846,corrected/19/negative/274340_177831_19_4.jpg,0
4689,corrected/19/positive/280046_170103_19_0.jpg,1
7837,corrected/19/negative/279079_172483_19_1.jpg,0
8670,corrected/19/negative/280487_180882_19_1.jpg,0
1839,corrected/19/negative/280727_175284_19_2.jpg,0
14939,corrected/19/negative/280108_175046_19_2.jpg,0
4158,corrected/19/positive/283238_174211_19_0.jpg,1
8091,corrected/19/negative/273932_180678_19_6.jpg,0
14511,corrected/19/negative/275499_172149_19_5.jpg,0
2690,corrected/19/negative/282115_171893_19_4.jpg,0
7690,corrected/19/negative/275391_171382_19_7.jpg,0
5475,corrected/19/negative/273566_176042_19_1.jpg,0
10059,corrected/19/negative/272295_173419_19_6.jpg,0
10505,corrected/19/negative/274443_179541_19_3.jpg,0
8695,corrected/19/negative/274750_173179_19_4.jpg,0
8700,corrected/19/positive/272063_178352_19_0.jpg,1
1609,corrected/19/negative/282388_174433_19_0.jpg,0
5764,corrected/19/negative/273634_183107_19_5.jpg,0
12485,corrected/19/negative/276373_179356_19_4.jpg,0
4064,corrected/19/negative/275827_180618_19_2.jpg,0
3645,corrected/19/negative/276152_178760_19_1.jpg,0
2116,corrected/19/negative/274792_182040_19_0.jpg,0
1497,corrected/19/positive/276121_173060_19_0.jpg,1
4223,corrected/19/negative/273125_173360_19_2.jpg,0
10552,corrected/19/negative/272902_174357_19_0.jpg,0
11121,corrected/19/negative/278966_172881_19_4.jpg,0
12150,corrected/19/negative/278355_177331_19_5.jpg,0
5554,corrected/19/negative/276862_169668_19_5.jpg,0
2150,corrected/19/positive/274631_178301_19_0.jpg,1
14524,corrected/19/negative/278214_177884_19_5.jpg,0
10711,corrected/19/positive/276634_181595_19_1.jpg,1
11945,corrected/19/negative/276461_181361_19_4.jpg,0
1449,corrected/19/negative/277779_182541_19_7.jpg,0
10067,corrected/19/negative/275624_175388_19_6.jpg,0
1992,corrected/19/positive/275977_175611_19_0.jpg,1
4325,corrected/19/negative/279085_173324_19_3.jpg,0
1510,corrected/19/positive/278905_180563_19_0.jpg,1
14974,corrected/19/positive/274967_181059_19_0.jpg,1
7880,corrected/19/negative/272461_176411_19_3.jpg,0
1121,corrected/19/positive/276425_172590_19_0.jpg,1
2063,corrected/19/positive/272530_176352_19_0.jpg,1
287,corrected/19/negative/277356_182763_19_1.jpg,0
10152,corrected/19/negative/272960_173003_19_7.jpg,0
2959,corrected/19/negative/274381_182844_19_3.jpg,0
7542,corrected/19/positive/278090_181168_19_0.jpg,1
1602,corrected/19/negative/271781_174848_19_7.jpg,0
9020,corrected/19/positive/274986_181648_19_0.jpg,1
7293,corrected/19/negative/283255_173363_19_2.jpg,0
3455,corrected/19/negative/276262_168850_19_1.jpg,0
14342,corrected/19/negative/275829_182288_19_1.jpg,0
10282,corrected/19/negative/274770_172690_19_3.jpg,0
6401,corrected/19/negative/275868_182120_19_4.jpg,0
6730,corrected/19/negative/277148_169605_19_5.jpg,0
12910,corrected/19/negative/278224_169520_19_5.jpg,0
2701,corrected/19/positive/273680_173875_19_2.jpg,1
1396,corrected/19/positive/277196_181252_19_0.jpg,1
11463,corrected/19/negative/275874_166990_19_7.jpg,0
12256,corrected/19/negative/278035_175668_19_0.jpg,0
11207,corrected/19/positive/280855_175251_19_0.jpg,1
6679,corrected/19/negative/276977_169326_19_2.jpg,0
12323,corrected/19/positive/275749_173329_19_0.jpg,1
1440,corrected/19/negative/275061_177496_19_2.jpg,0
996,corrected/19/negative/277911_178974_19_3.jpg,0
10988,corrected/19/positive/276481_179795_19_0.jpg,1
9099,corrected/19/negative/280297_180090_19_0.jpg,0
14385,corrected/19/negative/277828_182335_19_7.jpg,0
11444,corrected/19/negative/278801_181791_19_5.jpg,0
9288,corrected/19/negative/274684_179369_19_0.jpg,0
10172,corrected/19/negative/274764_172743_19_7.jpg,0
319,corrected/19/negative/273870_180713_19_0.jpg,0
6914,corrected/19/negative/278975_176586_19_3.jpg,0
6601,corrected/19/negative/275483_175318_19_6.jpg,0
6156,corrected/19/negative/273017_173980_19_6.jpg,0
8036,corrected/19/negative/272593_174397_19_2.jpg,0
7614,corrected/19/negative/273402_174302_19_3.jpg,0
10263,corrected/19/negative/274701_173223_19_3.jpg,0
10830,corrected/19/positive/280201_169750_19_0.jpg,1
6492,corrected/19/positive/279824_179507_19_1.jpg,1
8515,corrected/19/negative/276759_178562_19_3.jpg,0
7017,corrected/19/negative/275020_180255_19_0.jpg,0
11533,corrected/19/positive/275635_173930_19_0.jpg,1
11736,corrected/19/positive/275064_181385_19_0.jpg,1
10975,corrected/19/negative/272287_174436_19_0.jpg,0
7822,corrected/19/negative/273729_173993_19_1.jpg,0
3247,corrected/19/positive/278387_173633_19_0.jpg,1
14245,corrected/19/negative/278915_174169_19_7.jpg,0
1358,corrected/19/negative/273817_180760_19_4.jpg,0
14271,corrected/19/negative/279862_177763_19_1.jpg,0
11662,corrected/19/positive/275918_172864_19_0.jpg,1
12756,corrected/19/negative/272241_175437_19_4.jpg,0
423,corrected/19/negative/282542_175410_19_1.jpg,0
12014,corrected/19/positive/279782_178644_19_0.jpg,1
9268,corrected/19/negative/271852_175838_19_5.jpg,0
12445,corrected/19/positive/273645_176110_19_1.jpg,1
7677,corrected/19/negative/274693_179242_19_6.jpg,0
3412,corrected/19/negative/276849_178137_19_2.jpg,0
5530,corrected/19/negative/279366_181751_19_0.jpg,0
10195,corrected/19/negative/275818_180743_19_7.jpg,0
9129,corrected/19/positive/271914_174234_19_0.jpg,1
1476,corrected/19/negative/274541_182717_19_6.jpg,0
13900,corrected/19/negative/278366_175602_19_1.jpg,0
1090,corrected/19/negative/275341_177678_19_4.jpg,0
1252,corrected/19/positive/280062_180987_19_0.jpg,1
11332,corrected/19/negative/279029_176595_19_5.jpg,0
13572,corrected/19/positive/278170_176095_19_0.jpg,1
6739,corrected/19/negative/274298_177467_19_4.jpg,0
9460,corrected/19/negative/278792_181861_19_2.jpg,0
2192,corrected/19/positive/273935_172168_19_0.jpg,1
13672,corrected/19/negative/272425_173920_19_4.jpg,0
13852,corrected/19/negative/273396_182346_19_4.jpg,0
9334,corrected/19/negative/274129_175048_19_7.jpg,0
393,corrected/19/positive/272181_179258_19_0.jpg,1
539,corrected/19/negative/281356_173578_19_2.jpg,0
6470,corrected/19/positive/273779_173926_19_1.jpg,1
11549,corrected/19/positive/278837_181548_19_0.jpg,1
4243,corrected/19/negative/281173_171699_19_6.jpg,0
232,corrected/19/negative/274541_177690_19_1.jpg,0
14358,corrected/19/negative/275445_179529_19_7.jpg,0
8130,corrected/19/negative/278954_169419_19_4.jpg,0
3474,corrected/19/negative/272351_176312_19_5.jpg,0
311,corrected/19/negative/279069_176073_19_5.jpg,0
4498,corrected/19/negative/280062_180987_19_0.jpg,0
4099,corrected/19/negative/273547_181247_19_5.jpg,0
6765,corrected/19/positive/274728_172788_19_0.jpg,1
535,corrected/19/positive/273413_173704_19_0.jpg,1
9320,corrected/19/positive/275587_175616_19_0.jpg,1
3089,corrected/19/negative/273642_176103_19_6.jpg,0
