,filepath,tower
0,corrected/19/positive/275788_180894_19_0.jpg,1
1,corrected/19/positive/281309_171732_19_0.jpg,1
2,corrected/19/negative/278169_178568_19_6.jpg,0
3,corrected/19/negative/275190_177627_19_7.jpg,0
4,corrected/19/negative/282796_173738_19_2.jpg,0
5,corrected/19/negative/278338_178410_19_1.jpg,0
6,corrected/19/negative/279133_176355_19_7.jpg,0
7,corrected/19/positive/275518_179297_19_0.jpg,1
8,corrected/19/negative/273731_183045_19_0.jpg,0
9,corrected/19/negative/280770_180845_19_4.jpg,0
10,corrected/19/positive/279091_176495_19_0.jpg,1
11,corrected/19/negative/274699_179717_19_7.jpg,0
12,corrected/19/negative/279845_181467_19_2.jpg,0
13,corrected/19/negative/276780_178428_19_7.jpg,0
14,corrected/19/positive/272240_175316_19_0.jpg,1
15,corrected/19/negative/273822_183179_19_6.jpg,0
16,corrected/19/negative/278213_181459_19_3.jpg,0
17,corrected/19/negative/282315_173417_19_1.jpg,0
18,corrected/19/negative/272991_174436_19_0.jpg,0
19,corrected/19/positive/278573_173727_19_0.jpg,1
20,corrected/19/negative/276714_181550_19_3.jpg,0
21,corrected/19/negative/275349_177856_19_1.jpg,0
22,corrected/19/negative/282212_174450_19_1.jpg,0
23,corrected/19/negative/275721_176922_19_6.jpg,0
24,corrected/19/negative/279725_181647_19_1.jpg,0
25,corrected/19/positive/275028_174311_19_0.jpg,1
26,corrected/19/negative/274471_169744_19_0.jpg,0
27,corrected/19/negative/274704_174526_19_7.jpg,0
28,corrected/19/positive/279595_174500_19_0.jpg,1
29,corrected/19/negative/274177_178861_19_6.jpg,0
30,corrected/19/negative/277119_172094_19_0.jpg,0
31,corrected/19/positive/280262_169511_19_0.jpg,1
32,corrected/19/negative/279853_177761_19_4.jpg,0
33,corrected/19/positive/274449_169743_19_0.jpg,1
34,corrected/19/negative/276521_182295_19_6.jpg,0
35,corrected/19/positive/274518_179561_19_0.jpg,1
36,corrected/19/negative/273642_176103_19_1.jpg,0
37,corrected/19/positive/278583_169432_19_0.jpg,1
38,corrected/19/negative/283053_174277_19_4.jpg,0
39,corrected/19/negative/273861_169985_19_6.jpg,0
40,corrected/19/negative/276527_181496_19_0.jpg,0
41,corrected/19/negative/274337_177757_19_7.jpg,0
42,corrected/19/negative/274720_173012_19_2.jpg,0
43,corrected/19/positive/275817_173135_19_0.jpg,1
44,corrected/19/positive/275984_168236_19_0.jpg,1
45,corrected/19/negative/274790_176337_19_0.jpg,0
46,corrected/19/negative/280603_175305_19_1.jpg,0
47,corrected/19/negative/273335_174387_19_0.jpg,0
48,corrected/19/negative/274093_178807_19_3.jpg,0
49,corrected/19/negative/274384_182712_19_5.jpg,0
50,corrected/19/negative/278350_177747_19_4.jpg,0
51,corrected/19/negative/279226_180986_19_3.jpg,0
52,corrected/19/negative/276069_180709_19_3.jpg,0
53,corrected/19/negative/278138_181623_19_3.jpg,0
54,corrected/19/negative/271793_174535_19_7.jpg,0
55,corrected/19/negative/275397_179994_19_7.jpg,0
56,corrected/19/positive/275798_180670_19_0.jpg,1
57,corrected/19/positive/277448_169544_19_0.jpg,1
58,corrected/19/positive/276951_180379_19_0.jpg,1
59,corrected/19/negative/279788_177695_19_4.jpg,0
60,corrected/19/negative/272496_174428_19_2.jpg,0
61,corrected/19/negative/274478_178035_19_7.jpg,0
62,corrected/19/negative/275433_180070_19_0.jpg,0
63,corrected/19/positive/278942_172803_19_0.jpg,1
64,corrected/19/negative/276271_182889_19_3.jpg,0
65,corrected/19/negative/274638_182190_19_5.jpg,0
66,corrected/19/positive/273125_176968_19_0.jpg,1
67,corrected/19/positive/280953_180854_19_0.jpg,1
68,corrected/19/negative/275793_175214_19_7.jpg,0
69,corrected/19/negative/279454_181400_19_5.jpg,0
70,corrected/19/positive/280111_170035_19_0.jpg,1
71,corrected/19/positive/277730_172317_19_0.jpg,1
72,corrected/19/negative/274472_182160_19_1.jpg,0
73,corrected/19/negative/278472_177368_19_7.jpg,0
74,corrected/19/positive/275964_176934_19_0.jpg,1
75,corrected/19/negative/278988_177426_19_4.jpg,0
76,corrected/19/positive/279545_176158_19_0.jpg,1
77,corrected/19/negative/279917_168309_19_3.jpg,0
78,corrected/19/negative/275919_175047_19_6.jpg,0
79,corrected/19/negative/277246_182811_19_7.jpg,0
80,corrected/19/positive/274426_179644_19_0.jpg,1
81,corrected/19/positive/280808_176284_19_0.jpg,1
82,corrected/19/positive/275562_169465_19_0.jpg,1
83,corrected/19/negative/278179_175911_19_1.jpg,0
84,corrected/19/positive/276973_169546_19_0.jpg,1
85,corrected/19/positive/280237_169012_19_0.jpg,1
86,corrected/19/negative/272273_173768_19_7.jpg,0
87,corrected/19/positive/274818_173843_19_0.jpg,1
88,corrected/19/positive/275403_171324_19_0.jpg,1
89,corrected/19/negative/273724_183136_19_1.jpg,0
