,filepath,tower
0,raw/19/positive/279900_168361_19_0_6477.jpg,1
1,raw/19/positive/272039_174794_19_1_22646.jpg,1
2,raw/19/negative/275348_171888_19_24038_2.jpg,0
3,raw/19/negative/280581_169274_19_13787_0.jpg,0
4,raw/19/negative/278848_175689_19_21315_1.jpg,0
5,raw/19/negative/273199_174453_19_13620_2.jpg,0
6,raw/19/negative/275548_170809_19_21554_2.jpg,0
7,raw/19/positive/272085_175685_19_0_21139.jpg,1
8,raw/19/negative/276984_180475_19_128_2.jpg,0
9,raw/19/negative/272027_175254_19_4835_0.jpg,0
10,raw/19/positive/275299_179889_19_0_21360.jpg,1
11,raw/19/negative/273459_174296_19_23265_1.jpg,0
12,raw/19/negative/272351_176353_19_5314_2.jpg,0
13,raw/19/negative/279971_179561_19_23633_1.jpg,0
14,raw/19/positive/275495_179308_19_0_11838.jpg,1
15,raw/19/negative/274230_173402_19_10500_1.jpg,0
16,raw/19/negative/273023_175430_19_22703_2.jpg,0
17,raw/19/negative/274561_182369_19_758_0.jpg,0
18,raw/19/negative/274128_173430_19_5390_2.jpg,0
19,raw/19/positive/275249_175890_19_0_13430.jpg,1
20,raw/19/negative/275392_171374_19_24276_0.jpg,0
21,raw/19/negative/274880_171742_19_19177_0.jpg,0
22,raw/19/negative/278252_179719_19_16103_1.jpg,0
23,raw/19/negative/278725_175671_19_16800_2.jpg,0
24,raw/19/negative/273390_182448_19_12243_0.jpg,0
25,raw/19/positive/279084_173334_19_0_5163.jpg,1
26,raw/19/negative/272070_178414_19_6287_2.jpg,0
27,raw/19/negative/280910_176617_19_19160_0.jpg,0
28,raw/19/positive/278889_181558_19_0_881.jpg,1
29,raw/19/negative/273770_174284_19_4725_0.jpg,0
30,raw/19/negative/281055_171725_19_18904_0.jpg,0
31,raw/19/positive/275377_180116_19_0_20799.jpg,1
32,raw/19/negative/274731_173436_19_13771_2.jpg,0
33,raw/19/positive/277139_178078_19_0_7059.jpg,1
34,raw/19/negative/279874_174334_19_10282_2.jpg,0
35,raw/19/positive/275251_179870_19_0_23123.jpg,1
36,raw/19/negative/274973_179574_19_14581_2.jpg,0
37,raw/19/positive/275356_174995_19_0_3319.jpg,1
38,raw/19/negative/274166_175015_19_24044_2.jpg,0
39,raw/19/negative/277817_182096_19_18843_2.jpg,0
40,raw/19/negative/279432_181368_19_13616_1.jpg,0
41,raw/19/negative/272369_174062_19_22100_2.jpg,0
42,raw/19/negative/271886_174179_19_17874_0.jpg,0
43,raw/19/positive/276369_176598_19_0_5371.jpg,1
44,raw/19/positive/274896_174525_19_0_14628.jpg,1
45,raw/19/negative/275034_176051_19_24069_1.jpg,0
46,raw/19/negative/275250_174845_19_21679_1.jpg,0
47,raw/19/negative/282811_173669_19_19992_2.jpg,0
48,raw/19/negative/283360_172952_19_9140_2.jpg,0
49,raw/19/negative/272043_173949_19_1771_0.jpg,0
50,raw/19/negative/271797_175384_19_24287_2.jpg,0
51,raw/19/negative/275015_172362_19_23790_2.jpg,0
52,raw/19/negative/281261_168485_19_13355_2.jpg,0
53,raw/19/negative/272441_174049_19_16661_2.jpg,0
54,raw/19/negative/280963_171806_19_9956_1.jpg,0
55,raw/19/negative/277812_175570_19_58_2.jpg,0
56,raw/19/positive/280930_175233_19_0_13135.jpg,1
57,raw/19/positive/276913_177897_19_0_7815.jpg,1
58,raw/19/positive/279690_176023_19_1_22228.jpg,1
59,raw/19/negative/273477_172068_19_171_2.jpg,0
60,raw/19/negative/274339_182868_19_16475_1.jpg,0
61,raw/19/negative/281998_171865_19_21930_2.jpg,0
62,raw/19/negative/276691_180164_19_10737_1.jpg,0
63,raw/19/positive/273020_174428_19_0_7355.jpg,1
64,raw/19/negative/275955_168268_19_12061_0.jpg,0
65,raw/19/negative/280891_176580_19_3525_0.jpg,0
66,raw/19/positive/278318_173377_19_0_15717.jpg,1
67,raw/19/positive/273459_176979_19_0_11304.jpg,1
68,raw/19/negative/277266_170771_19_6795_0.jpg,0
69,raw/19/negative/281836_171904_19_11828_1.jpg,0
70,raw/19/positive/279726_170209_19_0_18639.jpg,1
71,raw/19/positive/271725_176459_19_0_11709.jpg,1
72,raw/19/negative/274559_174591_19_24531_2.jpg,0
73,raw/19/negative/273057_173299_19_24072_2.jpg,0
74,raw/19/positive/276099_177865_19_0_7893.jpg,1
75,raw/19/negative/274492_179507_19_1620_0.jpg,0
76,raw/19/positive/283369_172759_19_0_8431.jpg,1
77,raw/19/negative/278195_179693_19_9033_0.jpg,0
78,raw/19/negative/274792_182040_19_1252_1.jpg,0
79,raw/19/negative/280996_171843_19_8868_1.jpg,0
80,raw/19/positive/273436_181613_19_0_2250.jpg,1
81,raw/19/positive/278214_181129_19_0_1367.jpg,1
82,raw/19/positive/280743_174065_19_0_19966.jpg,1
83,raw/19/negative/273374_182467_19_24378_2.jpg,0
84,raw/19/positive/271568_175850_19_0_2886.jpg,1
85,raw/19/positive/272830_175219_19_0_6179.jpg,1
86,raw/19/negative/275063_171782_19_11308_0.jpg,0
87,raw/19/positive/278336_181266_19_0_13957.jpg,1
88,raw/19/positive/274711_179292_19_0_427.jpg,1
89,raw/19/negative/272259_179214_19_21036_1.jpg,0
90,raw/19/positive/283176_174386_19_0_5107.jpg,1
91,raw/19/positive/283368_172982_19_0_1563.jpg,1
92,raw/19/negative/276347_182972_19_7210_2.jpg,0
93,raw/19/negative/272449_176446_19_15164_0.jpg,0
94,raw/19/positive/271895_175481_19_0_15503.jpg,1
95,raw/19/negative/276426_176287_19_5317_1.jpg,0
96,raw/19/negative/278623_180325_19_9724_1.jpg,0
97,raw/19/negative/274245_179278_19_22116_0.jpg,0
98,raw/19/negative/283024_174045_19_4672_1.jpg,0
99,raw/19/positive/279801_177710_19_0_12802.jpg,1
100,raw/19/negative/275431_179774_19_6405_2.jpg,0
101,raw/19/negative/275102_180278_19_15379_0.jpg,0
102,raw/19/negative/272452_176431_19_13723_0.jpg,0
103,raw/19/negative/273674_183104_19_3499_1.jpg,0
104,raw/19/negative/275631_180370_19_9332_0.jpg,0
105,raw/19/negative/275564_166255_19_15960_0.jpg,0
106,raw/19/positive/281157_175194_19_0_11026.jpg,1
107,raw/19/positive/274284_176144_19_0_14149.jpg,1
108,raw/19/positive/277794_182395_19_0_10435.jpg,1
109,raw/19/negative/275232_182413_19_16045_0.jpg,0
110,raw/19/negative/273977_177091_19_12742_2.jpg,0
111,raw/19/negative/272110_175837_19_513_1.jpg,0
112,raw/19/positive/274683_177428_19_0_4793.jpg,1
113,raw/19/negative/273597_173716_19_13884_0.jpg,0
114,raw/19/negative/274989_177406_19_1031_2.jpg,0
115,raw/19/negative/280822_175805_19_3890_0.jpg,0
116,raw/19/negative/274225_178869_19_20866_2.jpg,0
117,raw/19/negative/275241_179813_19_1290_0.jpg,0
118,raw/19/negative/282117_171894_19_14109_0.jpg,0
119,raw/19/positive/272847_174183_19_0_2980.jpg,1
120,raw/19/negative/272346_174883_19_21649_2.jpg,0
121,raw/19/negative/279424_181797_19_5857_1.jpg,0
122,raw/19/negative/280826_172425_19_16580_1.jpg,0
123,raw/19/negative/278979_172629_19_4974_0.jpg,0
124,raw/19/negative/275249_174909_19_20499_2.jpg,0
125,raw/19/negative/277784_182415_19_2918_1.jpg,0
126,raw/19/negative/279107_172318_19_19667_1.jpg,0
127,raw/19/positive/275577_172219_19_0_9319.jpg,1
